request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_179,6506134.08,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000.00 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800.00 minimum."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500.00 today. This leaves at least INR 37,300.00 available over the next 90 days."
request_181,290.75,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 290.75 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 today. This leaves at least ZAR 31,100.00 available over the next 90 days."
request_183,23516815.93,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments, starting 10 April 2026. This leaves at least IDR 11,878,300.00 available."
request_184,10000.44,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900.00 request. Although INR 10,000.44 is available today, the full amount cannot be completed safely within 90 days."
request_185,310.34,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_186,4795.54,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554.00 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22,000.00 minimum."
request_187,37750.93,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500.00 in full on 15 November 2024. Paying earlier would take the balance below the INR 128,300.00 minimum."
request_188,107.66,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464.00 request. Although EUR 107.66 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400.00 available over the next 90 days.
request_190,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the EUR 1,600.00 minimum protected."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500.00 available over the next 90 days.
request_192,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the USD 1,000.00 minimum protected."
request_193,31.02,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-03-15,none,"Use 3 installments, starting 21 March 2024. This leaves at least EUR 1,000.00 available."
request_194,33536.96,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800.00 in full on 23 October 2025. Paying earlier would take the balance below the INR 113,600.00 minimum."
request_195,986.95,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,"Use 3 installments, starting 09 January 2026. This leaves at least EUR 700.00 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500.00 available over the next 90 days.
request_197,20216256.33,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,,none,"Use 3 installments, starting 19 November 2025. This leaves at least IDR 26,245,900.00 available."
request_198,185800.0,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800.00 today. This leaves at least INR 124,300.00 available over the next 90 days."
request_199,23674000.0,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments, starting 07 September 2024. This leaves at least IDR 25,359,500.00 available."
request_200,21717000.0,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000.00 today. This leaves at least IDR 20,114,600.00 available over the next 90 days."
request_201,23997000.0,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000.00 today. This leaves at least IDR 17,304,500.00 available over the next 90 days."
request_202,123900.0,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900.00 today. This leaves at least INR 147,800.00 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"Use 3 installments, starting 10 May 2025. This leaves at least EUR 1,400.00 available."
request_204,567.13,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300.00 minimum."
request_205,10621000.0,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000.00 today. This leaves at least IDR 13,994,300.00 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments, starting 03 August 2025. This leaves at least EUR 900.00 available."
request_207,4417.91,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830.00 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600.00 minimum."
request_208,3015814.29,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000.00 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700.00 minimum."
request_209,1598.1,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914.00 request. Although ZAR 1,598.10 is available today, the full amount cannot be completed safely within 90 days."
request_210,833.78,affordable_with_plan,partial_payment,2026-04-06:833.78|2026-04-15:526.24,2026-04-15,none,"Pay USD 833.78 today and the remaining USD 526.24 on 15 April 2026. This completes the full request and keeps the USD 2,000.00 minimum protected."
request_211,265.15,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500.00 minimum."
request_212,3382248.01,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000.00 request. Although IDR 3,382,248.01 is available today, the full amount cannot be completed safely within 90 days."
request_213,3362.4,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,2026-01-07,none,"Use 3 installments, starting 21 January 2026. This leaves at least USD 2,100.00 available."
request_214,46701.41,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-15,none,"Use 2 installments, starting 04 December 2024. This leaves at least INR 174,900.00 available."
request_215,29986.0,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"Use 3 installments, starting 09 May 2025. This leaves at least ZAR 15,700.00 available."
request_216,477.27,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,332.40 request. Although USD 477.27 is available today, the full amount cannot be completed safely within 90 days."
request_217,2334.71,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 37,180.00 request. Although ZAR 2,334.71 is available today, the full amount cannot be completed safely within 90 days."
request_218,24459217.7,affordable_with_plan,partial_payment,2025-08-07:24459217.70|2025-09-15:36682782.30,2025-09-15,none,"Pay IDR 24,459,217.70 today and the remaining IDR 36,682,782.30 on 15 September 2025. This completes the full request and keeps the IDR 34,477,200.00 minimum protected."
request_219,703.23,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments, starting 07 April 2026. This leaves at least EUR 1,100.00 available."
request_220,74.93,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 74.93 is available today, the full amount cannot be completed safely within 90 days."
request_221,109800.0,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800.00 today. This leaves at least INR 81,500.00 available over the next 90 days."
request_222,34078.0,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078.00 today. This leaves at least ZAR 27,300.00 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800.00 available over the next 90 days.
request_224,10077298.65,affordable_with_plan,partial_payment,2025-02-04:10077298.65|2025-02-15:249701.35,2025-02-15,none,"Pay IDR 10,077,298.65 today and the remaining IDR 249,701.35 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600.00 minimum protected."
request_225,9636373.34,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,none,"Use 3 installments, starting 20 July 2026. This leaves at least IDR 17,670,700.00 available."
request_226,157000.0,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000.00 today. This leaves at least INR 209,400.00 available over the next 90 days."
request_227,7161.65,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700.00 request. Although INR 7,161.65 is available today, the full amount cannot be completed safely within 90 days."
request_228,1656800.88,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000.00 request. Although IDR 1,656,800.88 is available today, the full amount cannot be completed safely within 90 days."
request_229,443.02,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments, starting 18 March 2024. This leaves at least EUR 1,000.00 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000.00 available over the next 90 days."
request_231,31977.72,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-01-15,none,"Use 3 installments, starting 06 January 2026. This leaves at least ZAR 24,300.00 available."
request_232,511.37,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,970.10 request. Although EUR 511.37 is available today, the full amount cannot be completed safely within 90 days."
request_233,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the IDR 10,365,700.00 minimum protected."
request_234,180.94,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700.00 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700.00 available over the next 90 days.
request_236,5890616.77,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000.00 request. Although IDR 5,890,616.77 is available today, the full amount cannot be completed safely within 90 days."
request_237,23826000.0,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000.00 today. This leaves at least IDR 22,431,500.00 available over the next 90 days."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"Use 3 installments, starting 07 December 2024. This leaves at least USD 700.00 available."
request_239,642.0,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642.00 today. This leaves at least USD 600.00 available over the next 90 days.
request_240,13949.09,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200.00 request. Although INR 13,949.09 is available today, the full amount cannot be completed safely within 90 days."
request_241,21052000.0,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments, starting 17 March 2024. This leaves at least IDR 19,252,000.00 available."
request_242,0.0,not_affordable,not_recommended,none,,none,Do not make this payment. None of the available options keeps the EUR 600.00 minimum protected.
request_243,17468.0,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468.00 today. This leaves at least ZAR 19,900.00 available over the next 90 days."
request_244,49918.0,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918.00 today. This leaves at least ZAR 45,900.00 available over the next 90 days."
request_245,23807.1,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500.00 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600.00 minimum."
request_246,64086.0,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments, starting 03 April 2026. This leaves at least ZAR 39,300.00 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300.00 available over the next 90 days."
request_248,366.35,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 1,965.60 request. Although USD 366.35 is available today, the full amount cannot be completed safely within 90 days."
request_249,141.73,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600.00 minimum.
request_250,15480.52,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278.00 request. Although ZAR 15,480.52 is available today, the full amount cannot be completed safely within 90 days."
request_251,965.06,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.60 request. Although EUR 965.06 is available today, the full amount cannot be completed safely within 90 days."
request_252,3991159.2,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000.00 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200.00 minimum."
request_253,1371.57,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments, starting 21 March 2024. This leaves at least EUR 2,300.00 available."
request_254,636.46,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500.00 minimum."
request_255,646639.08,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 3,345,000.00 request. Although IDR 646,639.08 is available today, the full amount cannot be completed safely within 90 days."
request_256,152538.57,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments, starting 10 June 2024. This leaves at least INR 168,600.00 available."
request_257,360.57,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600.00 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500.00 available over the next 90 days."
request_259,253.91,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935.00 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600.00 minimum.
request_260,7000846.31,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000.00 request. Although IDR 7,000,846.31 is available today, the full amount cannot be completed safely within 90 days."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500.00 available over the next 90 days."
request_262,9236000.0,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000.00 today. This leaves at least IDR 31,018,500.00 available over the next 90 days."
request_263,6510.55,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546.00 request. Although ZAR 6,510.55 is available today, the full amount cannot be completed safely within 90 days."
request_264,23451.56,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300.00 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500.00 minimum."
request_265,45970.0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970.00 today. This leaves at least INR 189,700.00 available over the next 90 days."
request_266,773.82,affordable_with_plan,partial_payment,2025-08-03:773.82|2025-09-15:161.18,2025-09-15,none,Pay EUR 773.82 today and the remaining EUR 161.18 on 15 September 2025. This completes the full request and keeps the EUR 900.00 minimum protected.
request_267,1686.87,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,none,"Use 3 installments, starting 08 January 2026. This leaves at least EUR 1,500.00 available."
request_268,1046.9,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments, starting 14 June 2024. This leaves at least EUR 1,400.00 available."
request_269,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment. None of the available options keeps the ZAR 23,100.00 minimum protected."
request_270,101.27,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Although USD 101.27 is available today, the full amount cannot be completed safely within 90 days."
request_271,13612.75,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300.00 in full on 15 November 2024. Paying earlier would take the balance below the INR 58,200.00 minimum."
request_272,5415032.83,affordable_with_plan,partial_payment,2025-02-05:5415032.83|2025-03-15:8169967.17,2025-03-15,none,"Pay IDR 5,415,032.83 today and the remaining IDR 8,169,967.17 on 15 March 2025. This completes the full request and keeps the IDR 7,508,600.00 minimum protected."
request_273,9553277.23,affordable_with_plan,partial_payment,2026-04-07:9553277.23|2026-04-15:6307722.77,2026-04-15,none,"Pay IDR 9,553,277.23 today and the remaining IDR 6,307,722.77 on 15 April 2026. This completes the full request and keeps the IDR 18,774,600.00 minimum protected."
request_274,2174.95,affordable_with_plan,partial_payment,2024-12-04:2174.95|2025-01-15:538.75,2025-01-15,none,"Pay EUR 2,174.95 today and the remaining EUR 538.75 on 15 January 2025. This completes the full request and keeps the EUR 1,800.00 minimum protected."
request_275,15884000.0,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000.00 today. This leaves at least IDR 12,760,100.00 available over the next 90 days."
